loc_id,survey_date,type,A_mar,A_flor,A_rum,B_sex,C_dec,L_lit,L_rac,N_fru,R_api,R_muc,R_sty,S_alb,X_gra,O_spe,B_gym,C_tag,P_acid,E_aga,S_hydro,O_octo,L_lutea
6,2012,stem,700,0,0,0,,67,67,0,2900,400,1600,1866,0,0,0,100,0,0,0,0,0
6,2012,canopy,26389,0,0,0,209,131,0,0,45471,3907,5503,20971,0,0,353,314,0,0,0,0,0
6,2012,basal,13,0,0,0,0.04,0.04,0,0,9,3.1,3,14,0,0,0,0,0,0,0,0,0
19,2017,stem,400,150,,150,50,1100,700,0,13350,1850,17200,0,50,0,100,0,150,1900,0,0,0
19,2017,canopy,4154,611,,4241,353,,15232,0,116822,13165,71784,0,71784,0,2827,0,93,18875,0,0,0
19,2017,basal,4,1,,,,16,2,0,96,6,25,0,,0,2,0,,30,0,0,0
31,2018,stem,450,0,0,0,0,0,0,0,2200,3400,0,100,0,0,0,0,0,0,0,0,0
31,2018,canopy,2504,0,0,0,0,0,0,0,14344,14117,0,20106,0,0,0,0,0,0,0,0,0
31,2018,basal,3,0,0,0,0,0,0,0,6,7,0,0.11,0,0,0,0,0,0,0,0,0
34,2017,stem,520,0,220,0,920,0,0,260,0,40,0,0,0,440,120,120,0,40,120,40,0
34,2017,canopy,11883,0,15677,0,1252,0,0,298,0,157,0,0,0,768,238,74,0,204,247,5,0
34,2017,basal,25,0,33,0,3,0,0,2,0,0.41,0,0,0,4,2,0.13,0,1,1,0.01,0
